"STATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024233","2000-01-01","12.30"," 0450"," 0457","0.27",,,"40","43","37",,"  230","  240","0.0","23.0","33.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-02","8.95"," 0611"," 0339","0.00",,,"25","45","37",,"  230","  220","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-01-03","9.40"," 2121"," 2120","0.28",,,"42","47","36",,"  170","  170","0.0","21.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-04","13.42"," 0928"," 0933","0.30",,,"46","50","42",,"  230","  220","0.0","23.0","29.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-05","6.71"," 1209"," 1646","0.00",,,"41","44","37",,"  140","  120","0.0","13.0","14.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-06","5.59"," 1538"," 1538","0.03",,,"37","41","33",,"  190","  180","0.0","13.0","16.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-07","8.95"," 0643"," 2042","0.21",,,"43","46","40",,"  200","  160","0.0","16.1","17.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-08","14.32"," 0610"," 0906","0.32",,,"41","46","36",,"  230","  220","0.0","28.0","36.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-09","14.99"," 0611"," 0744","0.19",,,"40","44","35",,"  210","  240","0.0","30.0","38.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-10","8.28"," 0302"," 0302","0.19",,,"35","36","34",,"  190","  190","0.0","16.1","17.9","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00024233","2000-01-11","11.18"," 1800"," 1759","0.06",,,"36","37","34",,"  210","  210","0.0","21.9","25.1","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00024233","2000-01-12","8.72"," 2359"," 2358","0.21",,,"35","38","32",,"  200","  210","0.0","23.9","31.1","    1","    1",,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00024233","2000-01-13","4.47"," 1744"," 2133","0.10",,,"38","40","36",,"   30","   40","0.0","10.1","11.0","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00024233","2000-01-14","10.29"," 1408"," 1407","0.29",,,"41","44","37",,"  210","  210","0.0","28.0","36.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-15","9.40"," 0547"," 2121","0.00",,,"39","43","34",,"  200","  110","0.0","16.1","21.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-16","17.22"," 1437"," 1436","0.28",,,"43","50","36",,"  200","  200","0.0","40.0","51.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-17","6.04"," 0217"," 0216","0.01",,,"42","49","35",,"  200","  200","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-18","8.05"," 1434"," 1411","0.00",,,"36","41","30",,"   10","   30","0.0","16.1","17.9","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-19","7.83"," 0940"," 0723","0.09",,,"37","44","29",,"   10","   30","0.0","14.1","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00024233","2000-01-20","6.49"," 0250"," 0249","0.14",,,"41","47","35",,"  120","  120","0.0","15.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-21","6.49"," 1126"," 1133","0.19",,,"44","48","39",,"  240","  230","0.0","17.0","21.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-22","3.58"," 0250"," 0247","0.02",,,"42","46","37",,"   30","   40","0.0","10.1","11.0","    1",,,,,,,,,,,,,"    1",,,,"    1",,,
"USW00024233","2000-01-23","8.50"," 1626"," 2050","0.00",,,"40","46","33",,"   10","   40","0.0","14.1","16.1","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-24","9.17"," 0827"," 0827","0.00",,,"42","51","33",,"   30","   30","0.0","19.9","21.9","    1",,,,,,,,,,,"    1",,"    1",,,,"    1",,,
"USW00024233","2000-01-25","7.83"," 1317"," 1421","0.10",,,"43","48","38",,"  220","  230","0.0","17.0","21.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-26","5.37"," 0548"," 0542","0.00",,,"40","44","35",,"  220","  220","0.0","11.0","15.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-27","3.80"," 1548"," 1524","0.00",,,"41","47","35",,"   10","   40","0.0","10.1","13.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-28","4.70"," 2208"," 2205","0.00",,,"39","48","29",,"  130","  110","0.0","13.0","15.0","    1","    1",,,,,,"    1",,,"    1",,,,,,,"    1","    1",,
"USW00024233","2000-01-29","10.51"," 2122"," 2044","0.00",,,"43","52","34",,"  120","  120","0.0","21.9","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-01-30","14.32"," 0810"," 0921","0.03",,,"43","47","39",,"  120","  110","0.0","29.1","36.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-31","6.71"," 2002"," 1911","0.46",,,"44","50","37",,"  120","  120","0.0","17.9","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-01","13.42"," 0858"," 0858","1.34",,,"45","49","41",,"  220","  220","0.0","25.9","36.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-02","9.17"," 0043"," 0018","0.00",,,"42","46","38",,"  210","  220","0.0","19.9","23.9","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-03","14.99"," 1350"," 1349","0.00",,,"50","59","40",,"   90","   90","0.0","28.0","33.1","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-04","4.70"," 0115"," 0124","0.00",,,"48","55","40",,"  110","  100","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-05","5.59"," 2047"," 2047","0.06",,,"46","56","36",,"   90","   90","0.0","13.0","14.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-06","4.70"," 2343"," 0842","0.00",,,"50","57","43",,"   50","  120","0.0","10.1","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-07","7.61"," 1313"," 1312","0.34",,,"48","52","43",,"  230","  240","0.0","14.1","17.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-08","9.17"," 1638"," 1637","0.74",,,"45","49","41",,"  210","  220","0.0","23.9","30.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-09","6.71"," 0126"," 0126","0.01",,,"44","49","38",,"  190","  200","0.0","13.0","16.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-10","8.95"," 2119"," 2005","0.00",,,"41","48","33",,"   20","   10","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-11","4.70"," 2231"," 2257","0.00",,,"42","48","36",,"   10","   40","0.0","10.1","11.0","    1",,,,,,,,,,,,,"    1",,,,"    1",,,
"USW00024233","2000-02-12","7.16"," 0824"," 0836","0.00",,,"39","42","36",,"   30","   30","0.0","14.1","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-13","8.28"," 2324"," 2323","0.01",,,"40","48","32",,"  100","   90","0.0","16.1","21.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-14","9.40"," 2213"," 2202","0.50",,,"39","42","36",,"  230","  230","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-15","7.61"," 0439"," 0225","0.01",,,"43","47","38",,"  200","  200","0.0","16.1","21.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-16","10.74"," 1103"," 1103","0.00",,,"41","46","35",,"   10","   10","0.0","19.9","21.9","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-02-17","4.70"," 0111"," 0115","0.00",,,"40","48","31",,"   30","   30","0.0","13.0","15.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-02-18","2.91"," 2318"," 1544","0.00",,,"40","49","31",,"  120","   10","0.0","6.9","8.9","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-02-19","8.72"," 1947"," 1824","0.00",,,"43","55","31",,"  120","  120","0.0","19.9","23.0","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-20","6.71"," 1928"," 0024","0.00",,,"48","58","37",,"  120","  110","0.0","15.0","17.9",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-02-21","4.92"," 2306"," 2308","0.19",,,"46","48","43",,"  130","  130","0.0","10.1","11.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-22","8.50"," 0932"," 0925","0.61",,,"44","49","39",,"  220","  240","0.0","21.0","25.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-23","6.49"," 1535"," 1533","0.00",,,"44","49","38",,"  280","  290","0.0","14.1","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-24","4.92"," 1636"," 1636","0.00",,,"41","47","34",,"  190","  180","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-25","8.05"," 2250"," 1304","0.27",,,"41","49","33",,"  180","  200","0.0","14.1","17.9","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-26","7.61"," 2206"," 2004","0.25",,,"45","50","39",,"  120","  100","0.0","15.0","19.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-27","5.82"," 0450"," 0449","0.17",,,"47","52","42",,"  120","  110","0.0","13.0","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-28","7.16"," 1323"," 1322","0.11",,,"45","48","41",,"  190","  180","0.0","17.9","23.9","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-29","9.17"," 1617"," 1658","0.64",,,"47","52","42",,"  190","  170","0.0","17.9","21.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-01","5.37"," 0102"," 0136","0.00",,,"44","48","39",,"  210","  210","0.0","15.0","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-02","6.04"," 1344"," 1343","0.37",,,"47","51","42",,"  220","  230","0.0","14.1","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-03","6.26"," 0814"," 0807","0.34",,,"46","48","44",,"  130","  130","0.0","13.0","15.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-03-04","5.14"," 0420"," 0416","0.39",,,"40","44","36",,"   10","   10","0.0","16.1","19.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-05","4.03"," 1317"," 1401","0.00",,,"40","46","34",,"  360","  360","0.0","15.0","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-06","3.36"," 1528"," 1527","0.00",,,"40","47","32",,"  230","  200","0.0","10.1","13.0","    1","    1",,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-03-07","5.37"," 1759"," 1758","0.00",,,"44","53","34",,"   30","   30","0.0","14.1","16.1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-03-08","3.36"," 0035"," 0034","0.04",,,"45","47","42",,"  110","  120","0.0","11.0","14.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,"    1",,,
"USW00024233","2000-03-09","3.80"," 2350"," 0609","0.05",,,"46","51","40",,"  120","   20","0.0","8.1","11.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-10","4.92"," 2339"," 1621","0.10",,,"46","56","35",,"  220","  210","0.0","15.0","19.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-11","10.29"," 1333"," 1333","0.03",,,"44","49","38",,"  230","  230","0.0","28.0","44.1",,,,"    1","    1",,,,,,,,,"    1",,,,,,,
